week	period	section	category	reg_hrs	reg_pay	ot_pay	total_pay	pct_sales	pct_food_sales
3.8.26	report_week	exec	PAYROLL TAX		7123	15	7138	3.51	
3.8.26	report_week	exec	TOTAL LABOR		42737	92	42830	21.09	
3.8.26	last_year	boh	Cook	415	6696	0	6696	4.19	7.24
3.8.26	last_year	boh	Prep	160	3555	0	3555	2.22	3.84
3.8.26	last_year	boh	Dish	116	1405	0	1405	0.88	1.52
3.8.26	last_year	boh	Salary	0	12050	0	12050	7.53	13.03
3.8.26	last_year	boh	BOH TOTAL	691	23706	0	23706	14.82	25.63
3.8.26	report_week	boh	Cook	374	6130	286	6416	3.16	6.92
3.8.26	report_week	boh	Prep	80	1517	0	1517	0.75	1.64
3.8.26	report_week	boh	Dish	115	1362	0	1362	0.67	1.47
3.8.26	report_week	boh	Salary	0	10248	0	10248	5.05	11.05
3.8.26	report_week	boh	BOH TOTAL	569	19257	286	19543	9.62	21.07
3.8.26	last_year	foh	Security	20	416	0	416	0.26	
3.8.26	last_year	foh	Bar Back	161	1077	0	1077	0.67	
3.8.26	last_year	foh	Bartender	156	833	0	833	0.52	
3.8.26	last_year	foh	Crepe	0	0	0	0	0.00	
3.8.26	last_year	foh	Cafe	172	1034	0	1034	0.65	
3.8.26	last_year	foh	Hostess	134	1184	0	1184	0.74	
3.8.26	last_year	foh	Runner	25	135	0	135	0.08	
3.8.26	last_year	foh	Server	469	2509	1	2510	1.57	
3.8.26	last_year	foh	Training	63	673	0	673	0.42	
3.8.26	last_year	foh	Maintenance	0	0	0	0	0.00	
3.8.26	last_year	foh	COPS	0	1548		1548	0.00	
3.8.26	last_year	foh	FOH TOTAL	1200	9409	1	9410	5.88	
3.8.26	report_week	foh	Security	32	480	0	480	0.24	
3.8.26	report_week	foh	Bar Back	213	1170	13	1183	0.58	
3.8.26	report_week	foh	Bartender	219	1206	130	1336	0.66	
3.8.26	report_week	foh	Crepe	0	0	0	0	0.00	
3.8.26	report_week	foh	Cafe	223	1340	0	1340	0.66	
3.8.26	report_week	foh	Hostess	177	1622	0	1622	0.80	
